token_id,Shooting,Defense,Vision,Finish,Total Boost
7531,79,56,81,52,268
7744,65,58,52,38,213
6513,60,54,50,6,170
2684,54,78,55,36,223
4245,51,39,60,43,193
6750,37,63,61,22,183
9251,59,47,59,48,213
3611,45,76,54,9,184
7203,53,27,62,56,198
94,56,50,51,58,215
8143,50,55,34,47,186
2315,43,8,53,46,150
7717,46,72,34,47,199
2701,58,54,34,9,155
3783,23,37,25,36,121
5912,25,41,31,52,149
6283,67,52,32,66,217
931,56,59,49,43,207
3920,36,54,20,22,132
6926,44,27,55,59,185
6330,0,61,31,28,120
4535,55,56,27,31,169
690,44,75,55,34,208
9078,46,47,46,61,200
4938,43,41,76,59,219
7224,50,73,68,82,273
2247,40,57,51,44,192
3084,58,49,4,52,163
3524,39,37,43,38,157
8918,55,43,54,63,215
1382,68,55,37,53,213
6344,36,40,79,55,210
912,44,20,19,47,130
3794,52,39,47,59,197
2219,57,54,44,44,199
8977,34,53,49,25,161
4822,10,27,35,74,146
2774,29,48,17,47,141
7842,45,52,46,54,197
5443,47,70,24,42,183
7492,37,50,47,50,184
1866,60,36,50,57,203
7558,46,79,62,52,239
6535,67,59,35,45,206
2869,53,50,89,42,234
636,62,57,51,66,236
2099,49,30,51,7,137
1884,31,59,35,60,185
9359,80,63,61,61,265
9092,55,20,17,58,150
27,38,94,41,11,184
3670,70,40,68,72,250
8605,27,54,60,15,156
6819,72,41,29,70,212
2444,20,40,45,22,127
320,53,38,42,50,183
8456,30,50,49,75,204
9531,62,30,46,62,200
4856,24,63,61,63,211
3879,36,32,50,37,155
1848,44,31,61,55,191
8901,79,32,70,58,239
7644,59,52,45,48,204
6500,75,37,45,72,229
1391,94,57,55,69,275
8207,63,49,51,56,219
2538,29,48,52,44,173
6636,54,26,46,51,177
3696,54,33,66,33,186
3512,39,33,53,67,192
3653,37,46,87,45,215
4177,33,60,54,0,147
7460,33,40,57,21,151
670,57,64,50,73,244
8021,47,46,68,40,201
5904,52,73,32,74,231
6920,34,46,46,58,184
2491,7,61,67,64,199
9247,35,41,54,56,186
6364,44,41,40,59,184
9134,60,28,41,72,201
3743,48,54,41,73,216
6964,55,78,70,21,224
46,35,57,52,44,188
7288,39,58,37,100,234
8524,61,49,45,56,211
4811,48,37,67,60,212
5499,23,44,81,52,200
6580,55,46,46,55,202
6979,50,50,44,57,201
599,30,42,57,44,173
8729,73,75,68,37,253
9439,33,41,42,55,171
8835,73,67,45,48,233
2634,77,50,30,46,203
7673,18,52,42,46,158
9362,29,55,49,29,162
4927,30,63,77,56,226
994,68,58,34,58,218
3452,31,58,75,33,197
6107,70,59,45,63,237
9212,46,44,54,74,218
472,63,61,57,40,221
1969,39,29,88,60,216
9322,46,48,44,40,178
6465,33,71,77,67,248
9343,39,49,23,49,160
8365,42,29,33,59,163
2221,82,72,57,67,278
5295,57,22,60,60,199
8176,28,63,55,45,191
1464,79,79,56,26,240
6365,30,47,28,82,187
8970,47,31,39,58,175
2390,51,45,35,31,162
9789,49,58,46,46,199
824,47,39,74,54,214
5703,55,54,72,65,246
7197,55,35,32,43,165
6143,58,49,62,41,210
8946,25,40,19,64,148
5569,81,54,30,52,217
358,51,51,51,28,181
380,64,55,25,48,192
9082,39,39,50,66,194
415,36,23,32,19,110
2579,62,49,23,32,166
7888,50,44,59,30,183
6466,67,38,40,82,227
1235,51,50,52,92,245
8603,46,42,49,61,198
6977,20,50,54,72,196
8045,36,39,49,54,178
848,68,66,65,45,244
325,73,71,53,65,262
8652,30,74,57,59,220
8317,52,65,88,51,256
4283,54,59,37,37,187
9411,38,87,31,47,203
9035,49,35,21,56,161
6457,53,49,55,64,221
8789,58,49,30,37,174
6521,55,61,38,54,208
2448,39,39,79,61,218
5945,69,67,45,28,209
3796,33,52,74,58,217
1827,38,59,35,68,200
284,42,53,33,57,185
2259,72,50,41,43,206
368,50,40,50,32,172
5542,34,75,50,69,228
8662,58,38,61,38,195
5620,62,58,50,58,228
8069,34,38,54,71,197
9483,38,69,45,71,223
3938,57,37,33,87,214
3362,57,51,60,32,200
2125,73,84,43,59,259
1698,54,55,34,50,193
2780,64,42,55,60,221
5491,34,20,70,38,162
4637,47,43,90,40,220
5734,51,19,63,52,185
5342,57,49,53,48,207
2911,47,33,32,68,180
3298,53,50,46,40,189
2181,31,43,72,55,201
6734,56,42,39,86,223
2085,68,43,65,55,231
8332,40,62,73,35,210
715,54,65,41,36,196
1637,41,36,59,51,187
4473,72,52,38,48,210
875,69,40,55,34,198
7328,49,36,51,58,194
754,55,63,27,67,212
4957,39,53,50,33,175
5162,46,29,41,60,176
4728,44,34,46,59,183
2242,52,46,55,43,196
5449,31,24,39,52,146
6322,65,56,58,49,228
8557,59,35,40,15,149
6001,61,52,47,64,224
3494,58,42,55,58,213
7767,66,30,59,22,177
1002,54,53,45,58,210
5995,34,33,70,73,210
4197,39,26,57,57,179
3888,42,53,71,44,210
8202,50,51,76,34,211
4758,53,38,69,58,218
3739,46,41,45,43,175
585,50,49,45,53,197
2583,31,73,48,60,212
1970,39,24,27,80,170
1585,41,31,35,35,142
8287,87,54,23,76,240
9696,47,36,60,60,203
8980,57,46,60,61,224
3399,79,86,45,45,255
9303,47,38,54,53,192
4954,50,71,57,39,217
8259,67,47,40,46,200
3140,35,59,70,40,204
9843,60,65,39,44,208
8086,64,42,21,54,181
5234,66,71,89,54,280
1820,55,65,60,36,216
6960,54,39,42,74,209
3048,55,48,47,71,221
6890,48,45,60,45,198
1767,57,60,68,44,229
3659,48,40,39,80,207
1245,57,73,49,55,234
5217,44,47,66,62,219
6134,58,50,41,53,202
5012,32,38,47,69,186
6387,67,44,31,50,192
1349,28,70,58,62,218
312,61,25,47,57,190
3079,35,46,58,63,202
850,50,52,83,57,242
7131,56,52,36,71,215
8762,55,76,42,57,230
2797,57,65,40,37,199
686,47,49,39,75,210
906,65,46,42,59,212
4266,25,40,56,54,175
8911,37,67,79,49,232
1740,44,73,50,22,189
9486,20,53,56,49,178
9197,65,42,54,38,199
4229,65,46,55,49,215
7955,30,30,33,50,143
2017,50,58,36,33,177
1671,34,76,24,51,185
5434,42,52,96,32,222
2605,46,36,83,58,223
6721,47,52,41,39,179
9079,48,61,54,69,232
8585,78,62,60,45,245
5280,48,54,51,53,206
5697,58,66,73,66,263
3697,40,49,56,63,208
3458,30,28,60,65,183
7455,47,77,42,42,208
6600,64,46,25,53,188
3955,50,45,38,31,164
2251,18,60,57,68,203
12,63,38,30,67,198
8354,39,60,64,36,199
7212,57,48,42,56,203
7805,29,71,53,41,194
4981,56,37,46,28,167
2305,61,14,37,74,186
9754,85,52,44,19,200
6318,41,69,38,59,207
8024,42,46,42,65,195
6983,66,60,83,45,254
1300,70,51,47,58,226
2754,48,44,34,26,152
4542,54,42,51,100,247
8162,65,35,39,51,190
4358,74,35,70,54,233
8019,48,57,65,64,234
3676,51,31,62,63,207
2637,48,44,55,34,181
4787,34,67,52,50,203
5658,51,42,61,47,201
8028,78,62,74,34,248
8003,52,64,90,73,279
2024,56,67,54,66,243
2829,53,75,57,28,213
7044,44,36,84,13,177
8782,34,48,78,28,188
8418,26,51,48,52,177
4722,73,75,47,73,268
5088,68,43,47,53,211
4623,26,59,75,92,252
4206,47,48,25,24,144
8002,37,48,45,38,168
6962,57,52,45,63,217
6843,47,32,61,62,202
9248,43,60,42,44,189
8961,76,44,19,26,165
55,20,38,21,13,92
289,61,35,60,66,222
7901,64,34,33,63,194
8936,38,76,42,37,193
3389,70,21,44,52,187
4663,42,72,49,49,212
999,68,35,39,58,200
5738,40,32,25,45,142
8843,54,38,44,21,157
9195,68,60,62,77,267
4700,52,63,74,31,220
4890,40,44,46,39,169
7565,78,39,56,72,245
3451,33,67,55,50,205
1046,42,59,67,35,203
9857,26,29,35,21,111
7872,92,48,52,50,242
9682,38,73,71,29,211
2771,30,41,9,49,129
3990,67,45,34,71,217
6844,59,52,39,77,227
477,47,63,34,27,171
924,57,44,40,32,173
9581,68,7,43,68,186
9804,96,71,39,48,254
8945,62,38,49,63,212
2486,20,43,49,60,172
4931,55,61,59,48,223
1178,89,26,21,64,200
45,45,50,25,56,176
5750,13,38,55,62,168
4294,33,47,52,47,179
3554,44,62,73,49,228
274,66,50,79,63,258
2205,16,84,61,39,200
7001,42,46,52,38,178
4076,51,36,56,41,184
6993,60,78,59,57,254
6152,73,58,67,48,246
359,52,37,75,46,210
6895,62,58,46,61,227
8065,48,62,60,50,220
96,31,42,43,49,165
7826,51,46,51,67,215
5245,13,53,30,74,170
3037,48,31,13,60,152
4369,33,27,53,43,156
8101,100,34,68,44,246
5289,55,52,59,68,234
7661,81,34,51,69,235
9545,31,3,39,59,132
4104,55,57,45,51,208
3980,36,67,46,24,173
2956,46,42,19,64,171
9641,54,55,67,66,242
5063,21,35,64,41,161
4136,60,35,15,39,149
6069,32,37,69,26,164
3160,31,27,92,49,199
8947,52,52,74,42,220
565,52,55,33,53,193
5215,57,64,57,50,228
2270,57,53,69,88,267
8815,62,0,32,68,162
8455,49,77,69,52,247
6291,51,34,44,50,179
4525,25,35,59,18,137
9258,55,29,51,52,187
3779,31,13,49,65,158
2666,61,84,72,58,275
5094,38,42,48,55,183
2027,91,39,35,46,211
141,51,46,55,26,178
6113,33,55,35,70,193
4958,52,46,58,28,184
2043,43,19,58,43,163
5908,29,42,63,29,163
601,52,57,62,33,204
6331,51,72,53,40,216
5917,65,69,37,30,201
6628,53,19,35,48,155
1001,45,37,54,32,168
8145,79,58,52,57,246
2556,42,54,50,48,194
2152,41,34,28,30,133
2118,30,34,68,48,180
650,54,31,50,81,216
8257,58,50,49,54,211
6680,40,74,49,56,219
4568,37,67,66,47,217
6883,63,26,45,62,196
3672,60,24,53,58,195
7478,30,45,51,16,142
5035,76,40,53,35,204
538,52,35,61,57,205
5543,26,28,40,68,162
518,76,21,38,61,196
8790,39,61,57,56,213
4461,22,44,33,30,129
8566,38,74,48,28,188
9561,40,31,56,48,175
8410,40,52,23,65,180
1993,41,43,40,57,181
9634,72,49,46,55,222
9683,60,36,52,65,213
2624,64,37,55,46,202
891,65,51,60,48,224
1989,62,65,48,59,234
2527,53,58,55,43,209
5581,63,75,49,63,250
6230,25,68,37,11,141
5253,29,50,17,48,144
7013,61,74,47,15,197
4666,36,59,38,77,210
2150,67,69,52,15,203
4363,37,51,88,33,209
3240,35,69,50,33,187
8096,61,51,43,72,227
9100,64,43,81,34,222
9688,50,51,62,62,225
7956,54,74,33,40,201
2089,54,67,79,23,223
6566,51,48,46,88,233
4038,64,58,33,55,210
9714,57,94,53,55,259
9562,48,52,38,61,199
7059,64,45,59,60,228
8627,41,42,69,31,183
8794,36,39,38,43,156
9708,41,43,67,43,194
9016,37,69,51,44,201
291,76,35,56,35,202
5041,42,62,47,53,204
7796,78,57,53,35,223
6785,53,50,34,46,183
9329,67,76,64,55,262
2326,44,76,32,61,213
1048,44,66,43,36,189
5147,68,15,58,49,190
3728,43,66,45,37,191
2430,58,74,36,37,205
89,28,42,22,38,130
4991,60,56,22,26,164
9764,57,44,64,66,231
8018,66,62,52,52,232
9872,85,68,78,26,257
2234,49,47,35,28,159
9299,77,40,58,14,189
9726,41,68,69,59,237
8586,48,54,50,29,181
3606,43,34,66,58,201
9799,24,44,62,48,178
9724,29,60,72,51,212
8711,64,50,39,35,188
3968,36,49,39,61,185
39,57,77,70,41,245
6178,68,41,44,23,176
3411,39,18,68,29,154
5338,46,46,57,40,189
6213,73,53,28,10,164
104,54,38,59,60,211
5890,38,65,31,33,167
9488,53,56,72,12,193
3110,49,21,31,57,158
6771,78,54,56,52,240
8034,47,65,33,45,190
2778,33,47,54,69,203
8504,38,66,43,63,210
5672,77,27,69,53,226
8522,31,79,56,40,206
3927,42,42,19,63,166
9166,50,82,46,39,217
4720,47,23,65,23,158
1254,59,37,56,83,235
7525,81,57,73,19,230
8361,60,51,39,33,183
9402,59,60,53,70,242
7718,46,47,57,46,196
450,44,51,68,25,188
9280,25,28,34,47,134
6025,40,50,38,55,183
3942,70,33,61,61,225
5868,30,94,87,73,284
4490,29,56,56,32,173
9145,74,63,38,36,211
7911,82,75,50,44,251
1257,34,30,61,38,163
7467,60,30,32,70,192
4265,10,63,42,50,165
8294,36,39,30,54,159
445,69,34,51,49,203
4321,43,34,28,41,146
3906,46,60,29,20,155
5039,57,42,55,14,168
5436,36,71,32,39,178
4251,25,35,67,51,178
2007,42,42,55,68,207
5905,43,50,33,47,173
2693,56,73,77,55,261
1570,46,37,42,66,191
8656,60,53,11,68,192
3667,24,39,46,39,148
5670,63,31,53,35,182
7297,61,53,61,53,228
2764,38,61,32,35,166
8493,80,38,65,63,246
9176,36,73,32,87,228
9052,38,39,67,49,193
1043,39,52,24,51,166
9493,38,58,37,59,192
7097,21,62,58,51,192
2925,70,23,43,43,179
4172,58,81,30,35,204
4608,12,29,46,51,138
1932,36,52,63,68,219
7713,47,43,46,79,215
8214,50,53,49,44,196
9952,43,54,64,42,203
1807,81,41,32,44,198
4632,14,18,33,48,113
3814,71,48,43,64,226
8399,51,67,50,79,247
3797,43,24,38,37,142
8847,56,26,38,38,158
1690,48,55,65,26,194
9844,59,28,65,33,185
9527,49,52,69,39,209
4221,56,35,65,49,205
4645,43,53,39,88,223
841,41,57,66,57,221
418,53,60,74,22,209
1643,61,38,56,64,219
9824,47,24,46,39,156
6250,46,66,52,31,195
5536,57,76,41,29,203
8052,40,24,49,45,158
1405,58,29,44,47,178
304,59,63,52,76,250
1610,59,67,33,47,206
8927,57,39,50,29,175
9553,38,75,21,50,184
2350,74,61,55,46,236
6065,37,55,42,61,195
4648,52,55,35,32,174
7907,68,49,49,8,174
6244,46,65,41,60,212
9029,62,44,74,53,233
2197,79,35,47,59,220
9740,62,53,43,27,185
9213,53,72,91,47,263
42,44,66,8,73,191
6478,50,49,35,74,208
1892,57,35,47,37,176
6238,65,33,39,93,230
9903,44,50,54,70,218
2737,49,70,27,29,175
9651,37,66,35,63,201
2254,41,37,46,65,189
5042,36,62,45,59,202
8342,51,71,52,55,229
7662,97,78,22,46,243
4248,42,33,51,51,177
2030,62,58,48,65,233
5662,65,56,48,41,210
6955,62,37,51,64,214
428,26,66,66,49,207
9058,44,39,46,68,197
9541,71,47,43,44,205
8230,42,61,54,36,193
3093,47,41,36,52,176
6139,57,67,73,74,271
3011,57,70,28,27,182
6807,48,52,80,33,213
9087,84,69,77,42,272
5292,51,54,30,42,177
1499,53,21,53,26,153
983,66,85,77,44,272
7513,42,38,58,64,202
711,35,67,17,59,178
6146,53,76,41,49,219
4495,62,22,63,58,205
3883,96,51,67,27,241
7477,18,43,63,57,181
2677,51,33,44,46,174
4071,62,24,37,45,168
7749,59,73,64,43,239
4966,53,49,46,65,213
9786,23,56,52,91,222
8116,38,44,76,46,204
8319,60,50,71,44,225
2516,24,81,49,61,215
9039,54,42,50,61,207
7242,41,63,29,47,180
2330,43,38,48,45,174
8442,38,66,67,55,226
6226,48,56,62,52,218
4857,59,71,20,69,219
3184,33,68,70,47,218
7399,42,44,46,15,147
7797,68,53,58,28,207
4627,44,51,39,49,183
1122,47,32,46,48,173
2658,48,63,42,47,200
1479,56,22,52,15,145
20,51,54,52,33,190
9655,71,50,53,63,237
421,43,0,53,53,149
9135,75,51,19,56,201
2195,67,46,76,45,234
3187,71,33,59,87,250
3831,61,34,74,69,238
592,38,36,35,40,149
5653,46,51,39,41,177
6130,50,46,31,68,195
7711,34,55,54,44,187
3866,49,46,63,62,220
5382,51,38,40,69,198
8368,50,46,36,0,132
1256,60,61,41,16,178
2822,51,52,42,70,215
1688,44,37,71,37,189
762,56,27,34,78,195
4597,29,69,50,25,173
2966,11,67,41,49,168
6632,57,24,54,51,186
7877,61,55,52,72,240
7127,43,34,66,66,209
8649,32,53,43,42,170
7481,58,56,61,56,231
6066,58,31,29,79,197
5186,60,49,48,64,221
2909,48,53,68,34,203
4502,35,38,47,46,166
7735,54,31,58,36,179
3558,78,52,64,68,262
9906,50,35,54,47,186
9479,53,60,38,50,201
8996,48,56,75,54,233
93,35,73,50,48,206
1475,66,83,41,42,232
5096,63,31,67,57,218
9196,55,80,52,45,232
6456,49,25,25,44,143
8856,59,35,51,19,164
1301,47,67,49,39,202
2886,21,67,69,22,179
7898,55,55,40,64,214
9606,49,39,44,62,194
1364,67,58,38,47,210
5676,60,100,78,53,291
5303,53,45,33,33,164
5403,0,81,58,34,173
5702,39,30,54,28,151
3223,34,32,42,20,128
5163,53,30,30,36,149
7557,75,44,56,51,226
7775,44,73,56,72,245
751,77,51,47,45,220
1951,46,20,55,55,176
5220,44,48,28,73,193
671,53,31,63,56,203
8622,35,51,51,61,198
8376,22,85,46,42,195
8825,29,52,25,60,166
6392,49,65,51,37,202
9174,28,52,66,69,215
4475,36,45,34,65,180
3130,49,50,31,64,194
1860,25,81,39,78,223
6205,45,20,55,92,212
4769,40,52,43,55,190
8547,33,40,17,49,139
694,26,43,40,53,162
2041,58,64,46,39,207
7107,63,54,34,22,173
2905,61,23,67,70,221
8224,42,33,55,29,159
5137,39,35,39,45,158
3572,46,69,64,58,237
7408,50,59,54,93,256
9809,63,51,56,52,222
1649,79,65,30,37,211
6150,53,44,32,31,160
5827,14,15,21,27,77
7658,31,55,41,46,173
4406,65,48,70,24,207
4884,62,38,16,60,176
32,33,32,82,68,215
1789,50,41,43,39,173
7054,32,53,64,44,193
860,31,45,45,47,168
5957,53,21,66,7,147
109,42,40,52,61,195
9690,18,81,50,37,186
7232,39,57,50,74,220
8700,60,31,35,39,165
1340,18,63,60,62,203
1739,67,49,48,29,193
3363,44,42,64,61,211
7512,28,56,52,56,192
2714,54,67,47,66,234
8186,35,51,52,22,160
724,39,36,61,69,205
6913,98,73,62,50,283
8041,53,44,47,41,185
7024,75,54,46,38,213
1754,64,42,49,33,188
2973,47,48,49,68,212
434,30,78,37,52,197
9360,47,48,78,49,222
1644,33,62,36,46,177
5928,54,58,2,82,196
6519,51,75,35,49,210
870,36,66,60,23,185
481,45,50,47,47,189
8433,51,49,62,66,228
3630,51,48,69,45,213
9995,23,70,59,36,188
2916,11,67,56,41,175
4371,63,22,52,12,149
5967,48,34,46,53,181
8511,58,23,56,54,191
5196,36,27,59,50,172
5893,54,37,60,60,211
5909,22,39,56,43,160
8758,50,25,53,57,185
3162,44,48,42,58,192
3869,32,77,50,29,188
350,60,42,44,35,181
